address,activity_days
"JABATAN PENGANGKUTAN JALAN, PEJABAT PENTADBIRAN FELDA WILAYAH SELATAN,JALAN BATU PAHAT,JALAN BATU PAHAT, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"WISMA PERSEKUTUAN,JALAN BATU PAHAT,JALAN BATU PAHAT, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"SMK SERI PERDANA,JALAN NIYOR,JALAN NIYOR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"LORONG 1,KAMPUNG KOLAM AIR, KLUANG JOHOR","Monday,Thursday"
"LORONG 2,KAMPUNG KOLAM AIR, KLUANG JOHOR","Monday,Thursday"
"LORONG 3,KAMPUNG KOLAM AIR, KLUANG JOHOR","Monday,Thursday"
"SK SERI LALANG,JALAN SEKOLAH,KAMPUNG MELAYU BATU 6, SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN BERANGAN,KAWASAN PASAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"PASAR AWAM,JALAN BERANGAN,KAWASAN PASAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday"
"JALAN TEMBIKAI,KAWASAN PASAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN RAMBUTAN,KAWASAN PASAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"MPK,JALAN PEJABAT KERAJAAN 1,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"PEJABAT AGAMA KLUANG,JALAN PEJABAT KERAJAAN 1,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"KASTAM,JALAN PEJABAT KERAJAAN 1,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
" MAHKAMAH TINGGI,JALAN PEJABAT KERAJAAN 1,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JABATAN KERJA RAYA,JALAN PEJABAT KERAJAAN 2,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"KEDIAMAN JURUTERA JKR,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
"KUARTERS KERAJAAN,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
"KEDIAMAN PEGAWAI DAERAH KLUANG,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
"KEDIAMAN YANG DI-PERTUA MPK,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
"ISTANA SRI LAMBAK,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
"KEDIAMAN RASMI PEGAWAI KANAN POLIS,JALAN KEBUN TEH,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
"KEDIAMAN PENTADBIR TANAH KLUANG,JALAN KEBUN TEH,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
"JALAN BAHARU,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN BUKIT,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN ESTET,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"SURAU,JALAN ESTET,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN HUJUNG,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN HUJUNG 2,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN HUJUNG 3,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN HUJUNG 4,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN HUJUNG 5,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"PASAR AWAM,JALAN KLINIK,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN MERDEKA,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN MERDEKA,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN MERDEKA,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"GERAI MPK,JALAN MERDEKA,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN PASAR,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN PASAR,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN PAYA,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN PAYA A,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN PAYA B,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN PAYA C,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"BALAI POLIS SRI LALANG,JALAN PAYA C,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN PAYA D,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN PAYA E,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN PENDEK,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN RUMAH PANJANG,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN SELAMAT,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN SUNGAI,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN TEPI,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"JALAN TINGGI,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG B1,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG TINGGI 1,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG TINGGI 2,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG PAYA 1,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG PAYA 2,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG PAYA 3,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG TEPI 1,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG TEPI 2,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG TEPI 3,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG TEPI 4,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG TEPI 5,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG 1,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"LORONG 5,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday"
"BALAI PENGAWAL UTAMA,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"WISMA BINTARA 33RAD,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"DEWAN MAHKOTA / TADIKA / SURAU AL-MAKMUR,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"KUARTERS BUJANG BATALION KE-2 PPAT,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Thursday"
"KUARTERS PEGAWAI JALAN DORSET,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Thursday"
"BALAI PENGAWAL WISMA PERWIRA,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"SEKOLAH AGAMA KEM MAHKOTA,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"PERNAMA,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"REJIMEN KE-61 ARTILERI DIRAJA,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"KOMPLEKS 7BRIGED,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"MARKAS 3 DIVISYEN RAJD,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"PLATUN KENDERAAN,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"WISMA PERWIRA SOUTHERN GUNNERS,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"IKEM KOMPLEKS SEL TEMPUR,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"IKEM SENTRAL,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"BALAI PENGAWAL,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"PUSAT PEMULIHAN PEMASYARAKATAN,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"INSTITUT KEJURUTERAAN MEDAN TD,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"WISMA PERWIRA 8 SKUADRON RAJD,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"KOMPLEKS SAJIAN REJ-2 ARTILERI DIRAJA,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"DEWAN MAKAN SELVARAJAH IKEM TD,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"KELAB RENANG,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"BLOK E1-E2, F1-F4 [FLAT RSAT],JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Thursday"
"BLOK A-F [FLAT 7 BRIGED],JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Thursday"
"BLOK G1-G20 [PANGSAPURI MAHKOTA],JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Thursday"
"MARKAS STESEN STAF,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"BLOK KEDIAMAN PEGAWAI [PANGSAPURI MAHKOTA],JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Thursday"
"WISMA PERWIRA REJ-881 PUTD,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"BLOK F1-F4 [FLAT PEGAWAI KEM MAHKOTA],JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Thursday"
"STOR SENJATA 8 SKUADRON RAJD,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"KUARTERS WISMA PERWIRA REJ-881 PUTD,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Thursday"
"REJIMEN 501 ASKAR WATANIAH,JALAN SENTOSA, PUSAT BANDAR, KLUANG JOHOR","Tuesday,Friday"
"SM AGAMA KERAJAAN JOHOR,JALAN SENTOSA, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"PEJABAT PENDIDIKAN DAERAH  KLUANG,JALAN SENTOSA, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN BINJAI, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN DATO HJ HASSAN, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN DATO RAUF, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN DATO TAN SENG LEONG, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN DATO TEOH SIEW KHOR, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN DUKU, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN DURIAN, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"BLOK G, H, I, J, K, L, M, N, P [FLAT HAJI MANAN],JALAN HAJI MANAN, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Thursday,Friday"
"JALAN HAJI MANAN, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"SEKOLAH AGAMA BANDAR KLUANG,JALAN HOSPITAL, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"ASRAMA KOLEJ JURURAWAT MASYARAKAT,JALAN HOSPITAL, PUSAT BANDAR, KLUANG JOHOR","Tuesday,Friday"
"KUARTERS HOSPITAL KLUANG LAMA,JALAN HOSPITAL, PUSAT BANDAR, KLUANG JOHOR","Tuesday,Friday"
"JALAN ISMAIL, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN DATO KAPTEN AHMAD, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN LAMBAK, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN LANGSAT, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN MANGGIS, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN MATA KUCING, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN MD LAZIM SAIM, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN MERSING, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN PERSIARAN, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN SEJAHTERA, PUSAT BANDAR, KLUANG JOHOR","Tuesday,Friday"
"PEJABAT KEMAS,JALAN SEJAHTERA, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"KUARTERS KERAJAAN,JALAN SEKOLAH, PUSAT BANDAR, KLUANG JOHOR","Tuesday,Friday"
"KUARTERS LEMBAGA GETAH MALAYSIA,JALAN SEKOLAH, PUSAT BANDAR, KLUANG JOHOR","Tuesday,Friday"
"LEMBAGA GETAH MALAYSIA,JALAN SEKOLAH, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"SK TENGKU MAHMOOD 1 / SK TENGKU MAHMOOD 2,JALAN SEKOLAH, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"SMK TINGGI KLUANG DAN ASRAMA,JALAN SEKOLAH, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"SK PEREMPUAN BANDAR,JALAN SEKOLAH, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"PUSAT KEGIATAN GURU,JALAN SEKOLAH, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"MASJID JAMEK KLUANG,JALAN SEKOLAH, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"SK LELAKI BANDAR,JALAN SEKOLAH, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN SENTOL, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN STATION, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN SULTANAH, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN SYED HAMID SAGGAFT, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN TENGKU MAHKOTA ISMAIL, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN YAYASAN, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"LORONG 1, JALAN SEJAHTERA, PUSAT BANDAR, KLUANG JOHOR","Tuesday,Friday"
"LORONG 2, JALAN SEJAHTERA, PUSAT BANDAR, KLUANG JOHOR","Tuesday,Friday"
"LORONG 3, JALAN SEJAHTERA, PUSAT BANDAR, KLUANG JOHOR","Tuesday,Friday"
"PERSIARAN DATO HAJI ISMAIL HASSAN, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN CIKU, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN PANGGUNG, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JABATAN KEBAJIKAN MASYARAKAT,JALAN MENGKIBOL, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN SENTOL 1, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"GERAI MPK,LORONG PANGGUNG, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"GERAI MPK BENTENG,JALAN GERAI MPK, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN PERSIARAN YAYASAN, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN HASHIM, PUSAT BANDAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
